topic_id,top_terms,support_docs,proposed_t2_label,proposed_keywords_csv,review_status,review_notes
5,"based, science, science based, targets, sbti, emissions, reduction, reduction targets, based emissions, emissions reduction, approved, initiative",308,,"based, science, science based, targets, sbti, emissions, reduction, reduction targets",needs_review,
2,"materiality, materiality assessment, double materiality, completed, double, assessment, risk, step, dan, process, danamon, yang",293,,"materiality, materiality assessment, double materiality, completed, double, assessment, risk, step",needs_review,
1,"yang, dan, pasal, positive, work, customers, making, keuangan, dalam, delik, people, live",226,,"yang, dan, pasal, positive, work, customers, making, keuangan",needs_review,
4,"board, company, dan, dengan, energi, carbon, perusahaan, yang, commissioners, board commissioners, continue, dalam",221,,"board, company, dan, dengan, energi, carbon, perusahaan, yang",needs_review,
3,"kepentingan, sustainable, perseroan, rata, practices, social, procurement, sustainable procurement, environment, atau, lain, yang",218,,"kepentingan, sustainable, perseroan, rata, practices, social, procurement, sustainable procurement",needs_review,
0,"sustainability, toll, reporting, governance, corporate, compliance, focus, sustainability reporting, efforts, preparing, continue, directive csrd",215,,"sustainability, toll, reporting, governance, corporate, compliance, focus, sustainability reporting",needs_review,
6,"sustainability, energy, committee, sustainable, risk, memiliki, group, company, sub, sub committee, intiland, emisi",193,,"sustainability, energy, committee, sustainable, risk, memiliki, group, company",needs_review,
7,"dan, untuk, yang, telah, indonesia, 2022, perseroan, program, karyawan, di, 31, dalam",143,,"dan, untuk, yang, telah, indonesia, 2022, perseroan, program",needs_review,
